gv,bv,pw,positive,negative
0,-70,100,[1 0.008640327490866184 6.532823317684233e-05 2.1735506379627623e-05 1.7654392650001682e-06 0],[0.00020706839859485626 0.0008380794315598905 0.014607995748519897 0.8502366542816162 0.14976342022418976 0.0134314876049757]
0,-80,0,[1 3.2958516385406256e-05 0 0 0 0],[5.141431529409601e-07 2.2911905261935317e-07 7.052909722915501e-07 8.019716187845916e-05 0.0180062185972929 1]
0,-80,10,[0.9185293316841125 0.08147063851356506 0.0024933398235589266 0.00042415299685671926 8.92458683665609e-06 0],[1.2255597994226264e-06 1.4839693903923035e-05 0.0007804838242009282 0.44330668449401855 0.5566933155059814 0.0022394622210413218]
0,-80,20,[0.6215202808380127 0.3784797489643097 0.013938141986727715 0.0020916436333209276 1.3889104593545198e-05 0],[1.0837660511242575e-06 2.741933349170722e-05 0.002776147099211812 0.8072749376296997 0.1927250623703003 0.00017973371723201126]
0,-80,30,[0.45821613073349 0.54178386926651 0.020902112126350403 0.002591404365375638 1.1724043361027725e-05 0],[7.308694307539554e-07 2.4093267711577937e-05 0.00263422098942101 0.8715970516204834 0.12840299308300018 7.440893386956304e-05]
0,-80,40,[0.088546521961689 0.9114534854888916 0.049363743513822556 0.0051647452637553215 1.4170957001624629e-05 0],[8.795612984613399e-07 6.135767762316391e-05 0.009295159950852394 1 0.060720011591911316 2.0720632164739072e-05]
0,-80,50,[0.25305619835853577 0.7469438314437866 0.0150369331240654 0.0011730530532076955 4.249274297762895e-06 0],[1.673078145358886e-06 0.00010139423102373257 0.012320752255618572 1 0.048767268657684326 3.389589983271435e-05]
0,-80,60,[0.007575433235615492 0.9473744034767151 0.05262560769915581 0.01037475187331438 2.677378142834641e-05 4.092372023478674e-07],[3.843884314846946e-06 0.0009772523771971464 0.05531443655490875 0.9446855187416077 0.011454436928033829 9.097316251427401e-06]
0,-80,70,[0.00587324658408761 0.9326428771018982 0.0673571303486824 0.0166696198284626 7.02878533047624e-05 1.2772778745784308e-06],[1.703841371636372e-05 0.004174039699137211 0.12648098170757294 0.8735190033912659 0.01096454169601202 1.6454741853522137e-05]
0,-80,80,[0.0032573197968304157 0.9334397912025452 0.06656018644571304 0.03129304572939873 0.000494605686981231 1.4340046618599445e-05],[0.005210238508880138 0.8377957940101624 0.16220423579216003 0.07563495635986328 0.001846660510636866 3.385245508980006e-05]
0,-80,90,[0.013946919701993465 1 0.05519039183855057 0.011212308891117573 0.00014063344860915095 5.607929324469296e-06],[0.0031574650201946497 0.4150925278663635 0.37014278769493103 0.21476469933986664 0.005673467647284269 8.353370503755286e-05]
0,-80,100,[1 0.009619186632335186 6.546659278683364e-05 2.1073010429972783e-05 1.6689045878592879e-06 0],[0.0011864665430039167 0.002371635753661394 0.020413188263773918 0.80283522605896 0.19716472923755646 0.03270534425973892]
0,-90,0,[1 2.2819043806521222e-05 0 0 0 0],[3.023675105850998e-07 0 1.76976982402266e-07 7.933272172522265e-06 0.002042801585048437 1]
0,-90,10,[0.9299130439758301 0.0700869932770729 0.0021853195503354073 0.0004543948161881417 1.3993661923450418e-05 0],[2.308295506736613e-06 2.3632528609596193e-05 0.0009780629770830274 0.3562532961368561 0.6437467336654663 0.01385489385575056]
0,-90,20,[0.805672824382782 0.1943272054195404 0.007295227609574795 0.0012539384188130498 1.3398187547863927e-05 0],[9.511982170806732e-07 1.1387029189791065e-05 0.0005990336649119854 0.3886760175228119 0.6113239526748657 0.002019906183704734]
0,-90,30,[0.5439044237136841 0.4560955762863159 0.017570888623595238 0.0025245666038244963 1.466359753976576e-05 0],[8.234667348006042e-07 1.921679540828336e-05 0.0014675228158012033 0.705016016960144 0.2949839234352112 0.00031689138268120587]
0,-90,40,[0.17200444638729095 0.8279955387115479 0.0414050854742527 0.0052049607038497925 2.0280365788494237e-05 0],[8.505866730956768e-07 2.6688254365581088e-05 0.002370795700699091 0.8125851154327393 0.18741483986377716 0.00013609029701910913]
0,-90,50,[0.3726781904697418 0.6273217797279358 0.011994090862572193 0.0010827488731592894 5.456581675389316e-06 0],[1.8341163467994193e-06 5.2702947868965566e-05 0.0040941848419606686 0.874284565448761 0.12571550905704498 0.00023500020324718207]
0,-90,60,[0.008800876326858997 0.9449167251586914 0.055083267390728 0.01249647792428732 3.816822572844103e-05 6.221774810910574e-07],[3.5112550449412083e-06 0.0006072421674616635 0.054951444268226624 1 0.02663392759859562 2.2162586901686154e-05]
0,-90,70,[0.006470658350735903 0.9330350160598755 0.06696493923664093 0.017858462408185005 8.266024815384299e-05 1.6081453395599965e-06],[1.3678758477908559e-05 0.0024469750933349133 0.0689842477440834 0.9310157299041748 0.02393120713531971 3.559448305168189e-05]
0,-90,80,[0.013609460555016994 0.9507598280906677 0.04924014210700989 0.018616266548633575 0.00016106227121781558 4.298849489714485e-06],[6.431445945054293e-05 0.006956685334444046 0.09845317155122757 0.9015467762947083 0.04031617194414139 0.00015563395572826266]
0,-90,90,[0.012556866742670536 0.9570171236991882 0.042982861399650574 0.02971355803310871 0.0009562544873915613 5.655856875819154e-05],[0.01967514120042324 0.9019463658332825 0.09805368632078171 0.06346974521875381 0.002746144076809287 0.00010148671572096646]
0,-90,100,[1 0.009758556261658669 5.951573984930292e-05 1.9457065718597732e-05 1.909601223815116e-06 0],[0.0006734194466844201 0.0006163964280858636 0.0052269622683525085 0.4504414498806 0.36158519983291626 0.18797332048416138]
0,-100,0,[1 1.902689859889506e-06 0 0 0 0],[0 0 0 0 3.4938350381708005e-06 1]
0,-100,10,[1 0.015182067640125751 0.00023413369490299374 9.305842831963673e-05 1.2297655302972998e-05 0],[5.14644284521637e-07 3.657478657714819e-07 1.5043603980302578e-06 0.00024911589571274817 0.04411175474524498 1]
0,-100,20,[1 0.052973706275224686 0.00160472490824759 0.0005492264172062278 2.3645990950171836e-05 0],[7.631931566720596e-07 9.108442782235215e-07 7.116161668818677e-06 0.002790541388094425 0.22630904614925385 0.773690938949585]
0,-100,30,[0.9393898844718933 0.06061013787984848 0.0037904782220721245 0.0011623894097283483 3.018112329300493e-05 0],[9.162118317362911e-07 1.5909695321170148e-06 1.5832087228773162e-05 0.009334703907370567 0.4784374535083771 0.5215625166893005]
0,-100,40,[0.7709468007087708 0.22905321419239044 0.014971246011555195 0.004041864536702633 5.921391857555136e-05 0],[1.153395714936778e-06 2.719087206060067e-06 3.710773671627976e-05 0.029413247480988503 0.7471175193786621 0.2528824508190155]
